10 0
1 0 0
2 0 0
3 0 0
4 0 0
5 1 0
6 1 0
7 1 0
8 1 0
9 1 0
10 1 0
1 2 1000 1000
1 3 1000 1000
1 4 1000 1000
1 5 1000 1000
1 6 1000 1000
1 7 1000 1000
1 8 1000 1000
1 9 1000 1000
1 10 1000 1000
2 3 1000 1000
2 4 1000 1000
2 5 1000 1000
2 6 1000 1000
2 7 1000 1000
2 8 1000 1000
2 9 1000 1000
2 10 1000 1000
3 4 1000 1000
3 5 1000 1000
3 6 1000 1000
3 7 1000 1000
3 8 1000 1000
3 9 1000 1000
3 10 1000 1000
4 5 1000 1000
4 6 1000 1000
4 7 1000 1000
4 8 1000 1000
4 9 1000 1000
4 10 1000 1000
5 6 1000 1000
5 7 1000 1000
5 8 1000 1000
5 9 1000 1000
5 10 1000 1000
6 7 1000 1000
6 8 1000 1000
6 9 1000 1000
6 10 1000 1000
7 8 1000 1000
7 9 1000 1000
7 10 1000 1000
8 9 1000 1000
8 10 1000 1000
9 10 1000 1000
