7 0
1 0 1; 0 0 0 1 0 0 0; 010011 010011 010011 011111 011111 010011 010011; 000001111100000000001111111111 000001111100000000001111111111 000001111100000000001111111111 000001111100000000001111111111 000001111100000000001111111111 000001111100000000001111111111 000001111100000000001111111111
2 0 0
3 1 0
4 0 1; 0 0 0 1 0 0 0; 101011 101011 101011 101111 101111 101011 101011; 000000000011111100001111111111 000000000011111100001111111111 000000000011111100001111111111 000000000011111100001111111111 000000000011111100001111111111 000000000011111100001111111111 000000000011111100001111111111 
5 0 0 
6 1 0
7 1 0
1 2 1000 100
1 3 2000 100
1 4 100  200
1 5 100  200
1 6 200  300
1 7 500  100
2 3 100  100
2 4 100  100
2 5 1000 100
2 6 100  100
2 7 100  100
3 4 100  100
3 5 100  100
3 6 100  100
3 7 100  100
4 5 100  100
4 6 500  100
4 7 1000 100
5 6 200  100
5 7 500  100
6 7 500  100
