7 0
1 0 1; 1 0 1 0 1 0 1; 111111 111111 111111 111111 111111 222222 111111; 011101111010110101101011010111 011101111010110101101011010111 100100100100100100000101010111 100100100100100100000101010111 100100100100100100000101010111 100100100100100100000101010111 100100100100100100000101010111
2 0 0
3 1 0
4 0 1; 1 0 0 0 1 0 1; 100010 010010 101010 111111 000111 010110 101010; 100100100100100111110101010111 100100100100100111111101010111 011101111010110101101011010111 100100100100100100000101010111 100100100100100100000101010111 100100100100100100000101010111 100100100100100100000101010111
5 1 0
6 1 0
7 1 0
1 2 1000 1000
1 3 1000 1000
1 4 1000 1000
1 5 1000 1000
1 6 1000 1000
1 7 1000 1000
2 3 1000 1000
2 4 1000 1000
2 5 1000 1000
2 6 1000 1000
2 7 1000 1000
3 4 1000 1000
3 5 1000 1000
3 6 1000 1000
3 7 1000 1000
4 5 1000 1000
4 6 1000 1000
4 7 1000 1000
5 6 1000 1000
5 7 1000 1000
6 7 1000 1000
